-361,-215,-500
-287,-324,-500
-286,-174,-376
-345,-351,-500
-341,-184,-500
-296,-190,-488
-265,-177,-500
-318,-219,-500
-260,-213,-472
-357,-177,-500
-490,-154,-324
-412,-181,-340
-389,-210,-341
-286,-160,-500
-276,-180,-365
-319,-181,-454
-358,-179,-169
-226,-238,-296
-500,-170,-267
-388,-193,-249
-268,-158,-253
-422,-238,-210
-287,-231,-334
-283,-129,-207
-381,-189,-247
-376,-164,-207
-371,-130,-242
-274,-105,-206
-323,-172,-262
-240,-160,-164
-187,-127,-135
-275,-148,-259
-214,-155,-189
-312,-164,-205
-200,-137,-179
-150,-145,-114
-237,-145,-219
-201,-129,-259
-178,-135,-176
-244,-140,-180
-230,-144,-218
-157,-133,-186
-177,-130,-132
-166,-136,-129
-129,-107,-120
-183,-132,-138
-166,-108,-119
-159,-264,-142
-149,-114,-127
-173,-153,-127
-129,-128,-146
-203,-160,-236
-177,-165,-168
-138,-172,-139
-147,-109,-143
-147,-136,-198
-146,-139,-177
-145,-143,-139
-142,-169,-141
-174,-108,-158
-117,-143,-190
-134,-114,-160
-116,-139,-111
-198,-113,-129
-140,-186,-113
-199,-144,-116
-230,-120,-137
-160,-114,-127
-105,-110,-213
-193,-189,-166
-92,-130,-112
-130,-128,-147
-165,-138,-174
-178,-107,-156
-140,-112,-112
-177,-117,-108
-170,-119,-115
-171,-127,-100
-184,-103,-155
-151,-113,-139
-117,-155,-155
-139,-132,-148
-117,-137,-95
-150,-146,-124
-146,-131,-107
-123,-123,-144
-95,-272,-473
-121,-161,-130
-140,-130,-138
-126,-114,-105
-116,-164,-101
-119,-112,-103
-119,-135,-136
-145,-145,-122
-99,-142,-155
-98,-140,-106
-141,-105,-128
-129,-114,-109
-126,-111,-145
-129,-114,-100
-139,-100,-104
-95,-124,-120
-303,-95,-99
-121,-135,-146
-153,-102,-101
-108,-131,-143
-328,-122,-117
-120,-143,-113
-121,-127,-122
-115,-147,-114
-117,-129,-100
-125,-109,-133
-236,-205,-125
-207,-118,-127
-152,-142,-92
-139,-105,-106
-103,-134,-150
-117,-127,-129
-95,-106,-122
-109,-113,-104
-110,-118,-141
-163,-126,-500
-114,-119,-118
-135,-114,-118
-120,-138,-182
-109,-127,-119
-149,-116,-125
-115,-125,-113
-114,-137,-156
-111,-171,-148
-105,-113,-103
-99,-132,-109
-132,-161,-227
-124,-93,-140
-112,-103,-117
-142,-121,-97
-121,-101,-99
-145,-97,-135
-109,-120,-117
-255,-170,-114
-120,-153,-123
-177,-126,-123
-117,-118,-137
-128,-143,-157
-123,-134,-103
-99,-137,-117
-153,-113,-130
-96,-123,-111
-139,-134,-199
-123,-133,-92
-129,-143,-111
-170,-116,-156
-92,-110,-136
-137,-137,-192
-141,-225,-117
-134,-152,-128
-95,-115,-120
-112,-116,-102
-134,-142,-104
-124,-134,-123
-110,-124,-122
-128,-148,-121
-89,-132,-109
-500,-131,-120
-113,-122,-120
-89,-108,-125
-128,-102,-276
-161,-98,-126
-135,-146,-96
-100,-121,-114
-102,-156,-210
-154,-120,-112
-132,-137,-105
-117,-88,-162
-124,-106,-107
-153,-110,-95
-121,-157,-133
-118,-127,-134
-101,-161,-105
-101,-134,-124
-110,-112,-103
-102,-106,-98
-140,-215,-141
-127,-102,-122
-93,-133,-167
-142,-141,-98
-96,-117,-203
-91,-99,-91
-105,-141,-115
-99,-135,-108
-96,-118,-107
-118,-159,-91
-124,-123,-104
-100,-139,-99
-118,-135,-80
-126,-99,-105
-143,-91,-68
-118,-127,-130
-112,-98,-92
-115,-186,-84
-151,-162,-87
-108,-129,-114
-278,-115,-124
-105,-128,-88
-152,-156,-78
-130,-162,-141
-101,-119,-123
-114,-115,-124
-126,-122,-136
-160,-133,-115
-150,-114,-93
-200,-144,-102
-111,-137,-117
-97,-131,-100
-115,-118,-111
-131,-92,-97
-200,-111,-112
-111,-98,-116
-216,-116,-109
-91,-124,-127
-142,-173,-139
-128,-129,-115
-121,-113,-141
-182,-119,-79
-115,-105,-122
-100,-86,-70
-161,-113,-109
-235,-94,-128
-109,-104,-91
-129,-95,-96
-192,-131,-138
-125,-120,-203
-124,-104,-108
-132,-110,-96
-135,-98,-96
-123,-139,-110
-117,-106,-110
-133,-89,-97
-132,-86,-123
-120,-123,-106
-126,-120,-108
-119,-102,-105
-150,-121,-136
-137,-136,-82
-91,-107,-123
-109,-99,-116
-121,-155,-117
-149,-138,-95
-127,-156,-194
-116,-101,-94
-121,-134,-99
-138,-131,-87
-144,-104,-107
-135,-110,-173
-139,-114,-251
-153,-115,-111
-118,-122,-95
-138,-126,-123
-101,-89,-128
-120,-126,-91
-120,-88,-113
-126,-103,-112
-114,-106,-104
-130,-107,-112
-139,-115,-121
-141,-88,-89
-113,-109,-100
-140,-134,-105
-95,-87,-113
-125,-115,-122
-104,-109,-120
-151,-128,-106
-116,-93,-119
-118,-108,-98
-102,-243,-79
-148,-110,-319
-139,-106,-107
-126,-115,-162
-105,-122,-125
-136,-111,-103
-96,-83,-107
-125,-98,-128
-138,-121,-120
-128,-100,-137
-139,-111,-110
-118,-109,-127
-125,-120,-145
-117,-96,-127
-155,-102,-101
-127,-94,-139
-150,-115,-121
-131,-100,-91
-101,-80,-122
-129,-136,-118
-298,-129,-106
-149,-87,-138
-119,-116,-228
-105,-110,-124
-195,-98,-101
-136,-102,-133
