Score1,Score2,Score3,Score4,Score5,Score6
-145.0,-315.0,-157.0,-143.0,-198.0,-143.0
-135.0,-208.0,-194.0,-126.0,-218.0,-117.0
-148.0,-209.0,-136.0,-134.0,-241.0,-113.0
-197.0,-185.0,-177.0,-149.0,-234.0,-122.0
-215.0,-236.0,-250.0,-105.0,-244.0,-114.0
-169.0,-217.0,-152.0,-151.0,-212.0,-100.0
-188.0,-235.0,-170.0,-266.0,-169.0,-133.0
-287.0,-248.0,-147.0,-154.0,-446.0,-125.0
-444.0,-238.0,-171.0,-156.0,-182.0,-127.0
-380.0,-202.0,-211.0,-157.0,-500.0,-92.0
-248.0,-137.0,-162.0,-117.0,-195.0,-106.0
-249.0,-170.0,-154.0,-182.0,-260.0,-150.0
-220.0,-193.0,-158.0,-210.0,-233.0,-129.0
-312.0,-121.0,-116.0,-146.0,-281.0,-122.0
-244.0,-181.0,-211.0,-108.0,-288.0,-104.0
-261.0,-225.0,-167.0,-214.0,-189.0,-141.0
-412.0,-200.0,-248.0,-94.0,-258.0,-500.0
-361.0,-234.0,-166.0,-136.0,-264.0,-118.0
-438.0,-210.0,-218.0,-99.0,-246.0,-118.0
-200.0,-201.0,-115.0,-134.0,-136.0,-182.0
-367.0,-157.0,-196.0,-147.0,-241.0,-119.0
-320.0,-149.0,-150.0,-123.0,-239.0,-125.0
-222.0,-148.0,-101.0,-124.0,-168.0,-113.0
-243.0,-153.0,-180.0,-104.0,-132.0,-156.0
-464.0,-201.0,-137.0,-110.0,-153.0,-148.0
-314.0,-161.0,-153.0,-104.0,-500.0,-103.0
-324.0,-167.0,-500.0,-102.0,-190.0,-109.0
-373.0,-168.0,-126.0,-146.0,-196.0,-227.0
-500.0,-212.0,-150.0,-104.0,-167.0,-140.0
-213.0,-168.0,-117.0,-114.0,-150.0,-117.0
-417.0,-259.0,-163.0,-117.0,-225.0,-97.0
-239.0,-197.0,-186.0,-143.0,-220.0,-99.0
-274.0,-137.0,-177.0,-115.0,-164.0,-135.0
-381.0,-182.0,-175.0,-147.0,-166.0,-117.0
-308.0,-170.0,-158.0,-139.0,-176.0,-114.0
-253.0,-193.0,-98.0,-148.0,-236.0,-123.0
-240.0,-337.0,-149.0,-101.0,-200.0,-123.0
-214.0,-207.0,-151.0,-119.0,-266.0,-137.0
-225.0,-130.0,-227.0,-151.0,-154.0,-157.0
-213.0,-500.0,-172.0,-165.0,-147.0,-103.0
-254.0,-230.0,-160.0,-105.0,-193.0,-117.0
-187.0,-250.0,-177.0,-111.0,-203.0,-130.0
-329.0,-271.0,-320.0,-93.0,-218.0,-111.0
-177.0,-327.0,-110.0,-267.0,-126.0,-199.0
-254.0,-361.0,-171.0,-124.0,-184.0,-92.0
-298.0,-366.0,-259.0,-83.0,-176.0,-111.0
-348.0,-359.0,-215.0,-119.0,-165.0,-156.0
-313.0,-361.0,-180.0,-131.0,-149.0,-136.0
-262.0,-179.0,-193.0,-115.0,-113.0,-192.0
-305.0,-242.0,-156.0,-106.0,-140.0,-117.0
-329.0,-211.0,-183.0,-113.0,-144.0,-128.0
-448.0,-211.0,-145.0,-90.0,-170.0,-120.0
-332.0,-297.0,-113.0,-132.0,-153.0,-102.0
-247.0,-181.0,-219.0,-120.0,-175.0,-104.0
-308.0,-206.0,-185.0,-120.0,-287.0,-123.0
-285.0,-172.0,-227.0,-194.0,-218.0,-122.0
-239.0,-328.0,-113.0,-117.0,-135.0,-121.0
-155.0,-243.0,-150.0,-106.0,-155.0,-109.0
-212.0,-216.0,-131.0,-117.0,-233.0,-120.0
-174.0,-205.0,-188.0,-111.0,-158.0,-120.0
-218.0,-229.0,-168.0,-133.0,-184.0,-125.0
-237.0,-228.0,-136.0,-107.0,-182.0,-276.0
-280.0,-199.0,-150.0,-138.0,-159.0,-126.0
-242.0,-270.0,-209.0,-117.0,-140.0,-96.0
-472.0,-300.0,-164.0,-127.0,-123.0,-114.0
-200.0,-224.0,-144.0,-178.0,-186.0,-210.0
-277.0,-202.0,-149.0,-114.0,-150.0,-112.0
-294.0,-255.0,-243.0,-123.0,-119.0,-105.0
-319.0,-223.0,-247.0,-133.0,-132.0,-162.0
-500.0,-231.0,-228.0,-108.0,-173.0,-107.0
-185.0,-279.0,-174.0,-191.0,-137.0,-95.0
-500.0,-227.0,-200.0,-130.0,-115.0,-133.0
-175.0,-302.0,-162.0,-98.0,-154.0,-134.0
-220.0,-213.0,-160.0,-367.0,-127.0,-105.0
-196.0,-147.0,-173.0,-113.0,-143.0,-124.0
-175.0,-208.0,-138.0,-105.0,-216.0,-103.0
-329.0,-172.0,-151.0,-121.0,-121.0,-98.0
-158.0,-190.0,-136.0,-99.0,-126.0,-141.0
-290.0,-193.0,-142.0,-83.0,-156.0,-122.0
-270.0,-218.0,-126.0,-105.0,-111.0,-167.0
-283.0,-295.0,-163.0,-118.0,-159.0,-98.0
-232.0,-201.0,-353.0,-127.0,-116.0,-203.0
-167.0,-197.0,-210.0,-102.0,-137.0,-91.0
-146.0,-287.0,-138.0,-151.0,-146.0,-115.0
-228.0,-209.0,-156.0,-101.0,-152.0,-108.0
