Rollouts,Average Reward,Standard Deviation
206,-114.3333333,9.56846673
207,-117.6666667,4.496912521
208,-128,5.887840578
209,-136,18.49324201
210,-119,23.53720459
211,-148.6666667,40.14418458
212,-121.6666667,11.11555467
213,-109.3333333,15.36952251
214,-114.6666667,2.867441756
215,-106.6666667,17.32692189
216,-141,41.72129752
217,-108.3333333,7.586537784
218,-147,48.87398763
219,-114,16.30950643
220,-151.3333333,15.36952251
221,-124,6.377042157
222,-125,11.77568116
223,-126.6666667,42.39758903
224,-114,6.976149845
225,-85.33333333,12.25651754
226,-127.6666667,23.62672686
227,-152.3333333,60.07957686
228,-101.3333333,7.586537784
229,-106.6666667,15.79732748
230,-153.6666667,27.25598813
231,-149.3333333,38.00292386
232,-112,8.640987598
233,-112.6666667,14.81740718
234,-109.6666667,17.93197021
235,-124,11.86029792
236,-111,4.546060566
237,-106.3333333,19.13693346
238,-113.6666667,19.9053315
239,-116.3333333,7.40870359
240,-118,7.483314774
241,-108.6666667,7.40870359
242,-135.6666667,11.84154645
243,-118.3333333,25.69478979
244,-107,13.06394529
245,-108,6.976149845
246,-131,17.04894914
247,-127.3333333,23.29997616
248,-159,27.43477112
249,-103.6666667,9.177266599
250,-118,14.44529912
251,-118.6666667,22.57333727
252,-118.3333333,18.19035153
253,-139.3333333,25.90152291
254,-168,59.5706863
255,-126.3333333,18.92675942
256,-111.6666667,11.8977122
257,-129,6.480740698
258,-106,16.30950643
259,-112.3333333,15.28252452
260,-107,13.73559852
261,-113.6666667,9.463379711
262,-108,4.320493799
263,-116.3333333,9.877021593
264,-125,10.19803903
265,-106,24.75210429
266,-107.3333333,5.436502143
267,-126.3333333,15.28252452
268,-98.33333333,10.87300429
269,-120.6666667,4.18993503
270,-111,6.683312552
271,-128.3333333,18.37268504
272,-109.3333333,11.61416759
273,-108,8.164965809
274,-141.3333333,72.49980843
275,-192.3333333,90.90043393
276,-117.3333333,15.32608524
277,-134.3333333,20.07209229
278,-117.3333333,8.806563209
279,-116.6666667,14.05544576
280,-95.33333333,9.809292646
281,-117,13.49073756
282,-126.3333333,8.259674462
283,-121.6666667,15.75506973
284,-120,13.4412301
285,-118,7.348469228
286,-130,10.8012345
287,-113.3333333,12.91854825
288,-119.3333333,25.22344588
289,-120,19.02629759
290,-128.6666667,15.28252452
291,-107.3333333,17.13346303
292,-101,17.1464282
293,-127.6666667,7.40870359
294,-177.6666667,85.6050362
295,-124.6666667,27.01028611
296,-154.3333333,52.10459566
297,-113,8.041558721
298,-131.3333333,45.03578824
299,-123.6666667,15.36952251
