Score3,Score1,Score2
-72.09295718,-95.18162536,-121.0264963
-28.76041855,-64.63498092,-80.71238534
-16.45202231,-48.72128938,-63.05433708
-13.52407531,-33.46497663,-38.48270908
-14.29999712,-24.89130282,-35.60780524
-13.96347061,-21.14678234,-25.89947733
-14.05782514,-17.74448815,-20.71379005
-13.80832155,-16.12633616,-25.9765595
-11.67526813,-14.06105673,71.38142961
-13.25615784,-13.3827205,59.89153649
-15.16588862,-12.46489153,72.31873721
-13.28629836,-13.01509214,73.09073726
-14.30315122,-13.39502154,-18.3898692
-12.66405781,-14.274646,80.42600124
-14.46225241,-13.11449566,77.50000402
-14.68752939,-14.57000404,85.47772661
-14.13948873,-14.33340436,77.15178653
85.25823301,-13.47146943,86.01898233
-14.98747688,-14.22401659,85.4989499
-15.80285604,51.73680845,85.76080645
87.1327693,78.97099553,82.29897008
86.7026853,82.00455648,70.94812989
83.55726593,75.66808724,87.65633442
91.51909255,89.99700474,85.89666872
85.98326916,73.20328949,83.87240813
93.4299992,72.37068928,80.94326683
90.33202595,91.14155156,83.04968716
91.81866756,74.57199206,80.41818433
91.9544099,62.3975976,92.42927376
92.41636601,88.62608434,83.30458467
85.95255341,79.89650332,75.09062257
93.69155382,82.37059057,86.5770158
94.00155552,83.11356109,88.65549985
93.22551106,92.40576426,88.01542011
94.31748635,79.95937054,87.78217039
93.60007633,89.71644047,84.20942127
91.70197747,83.38100177,89.96919317
91.24191952,85.25536661,89.63227306
89.53805222,89.03579889,90.81611855
88.20583792,91.31702992,89.64739206
82.78177502,76.62078403,89.59637417
90.63200344,87.86021722,88.87851042
92.848408,90.69297939,90.63013761
91.20449717,69.26059185,89.24490948
93.7298801,64.70986257,89.41424689
92.19237743,90.74800123,86.6112956
92.77146772,75.68711809,87.29837041
93.96887275,89.7095101,89.05707762
92.43521703,91.41734282,89.79588101
87.19966001,73.99853386,85.50620417
91.02019096,90.55853376,87.47063072
92.85316865,83.79718987,87.01623406
90.35382603,87.33620223,89.43224571
90.36839082,91.1422553,88.37671346
89.35761904,88.94921018,86.57461783
89.069878,90.33744537,84.17839841
93.56888979,87.61272826,89.18728111
88.59842883,89.477754,83.44582328
91.56544693,91.73493451,88.34994538
92.80997705,88.13170937,88.08327966
91.2815767,92.58894453,89.28545169
91.17368746,88.9659947,87.185333
94.42228681,54.72184343,83.60721546
89.83316186,87.52127576,91.62993818
90.81149084,92.53998524,88.69407029
90.9864636,91.11941485,86.76070088
92.64553751,90.94221557,86.52956354
93.38860642,59.05954652,87.89763036
93.05716177,88.05070173,85.39565045
91.7862364,91.28123908,87.3586714
92.82161101,90.58557913,87.51886323
92.21491101,90.98878759,86.4001383
92.47652641,92.2301217,86.1525599
92.92920907,86.19817888,82.21512478
94.20561971,87.35784632,90.09864951
93.46411879,91.97319295,89.22889724
93.14910189,88.65769093,89.21148288
93.14367786,84.18887211,87.11755269
93.89885417,78.97771308,88.27155172
91.82128394,90.33144318,87.78492981
87.3865856,88.91444879,87.08633086
93.91399388,90.86851401,89.03481707
90.1445495,85.02131853,89.5058926
93.58320648,92.81295474,89.29269318
