Rollouts,Average Reward,Standard Deviation
200,-72.66666667,10.27402334
201,-86.66666667,2.494438258
202,-98.33333333,1.247219129
203,-82.66666667,9.463379711
204,-97,7.874007874
205,-106,11.34313302
206,-82,3.265986324
207,-88.33333333,14.26728971
208,-104,32.07283378
209,-96,17.56891194
210,-100.3333333,13.81625452
211,-82.33333333,5.792715732
212,-77.66666667,2.867441756
213,-88.66666667,16.65999867
214,-90,14.44529912
215,-88.33333333,6.12825877
216,-91,12.56980509
217,-94.66666667,2.054804668
218,-84.66666667,2.494438258
219,-80,3.559026084
220,-83.66666667,5.436502143
221,-109.3333333,11.95361405
222,-101.3333333,14.70449667
223,-91.66666667,5.557777334
224,-89,9.092121131
225,-89.33333333,14.52201394
226,-101.3333333,18.40893503
227,-174.6666667,99.60031236
228,-84.66666667,7.586537784
229,-82.33333333,13.59738537
230,-88.66666667,8.013876853
231,-83.33333333,0.942809042
232,-79.33333333,6.18241233
233,-77.33333333,11.4406682
234,-91,7.348469228
235,-101.3333333,15.62761089
236,-81,14.44529912
237,-96.66666667,8.178562764
238,-96.33333333,5.906681716
239,-93.33333333,8.219218671
240,-86,6.480740698
241,-113,16.57307053
242,-95,1.414213562
243,-82.33333333,14.26728971
244,-89.33333333,9.741092797
245,-94.66666667,9.741092797
246,-80,6.377042157
247,-83.33333333,4.921607687
248,-89,4.966554809
249,-83.66666667,3.858612301
250,-96.66666667,10.96458947
251,-83.66666667,1.699673171
252,-103,12.24744871
253,-79.33333333,3.771236166
254,-106.6666667,32.76515765
255,-87.33333333,11.6714276
256,-109.6666667,15.4344492
257,-112.6666667,47.7865625
258,-91.66666667,9.741092797
259,-107,16.51262144
260,-90,9.201449161
261,-91.66666667,15.62761089
262,-73.33333333,4.109609335
263,-101,24.91318259
264,-80,19.20069443
265,-107.3333333,26.08107019
266,-85,8.640987598
267,-98.33333333,15.19502843
268,-84.33333333,6.12825877
269,-88.33333333,19.56754683
270,-86,7.257180352
271,-74,7.788880964
272,-99.66666667,2.494438258
273,-98.33333333,15.36952251
274,-85.33333333,4.642796092
275,-87.33333333,13.19932658
276,-81.33333333,8.730533902
277,-81,9.416297928
278,-90.66666667,8.993825042
279,-86,5.715476066
280,-100.6666667,8.013876853
281,-128.6666667,56.38754788
282,-97.66666667,9.428090416
283,-75.66666667,0.942809042
284,-74.66666667,6.798692685
285,-85,8.524474568
286,-85.33333333,8.956685895
287,-96.33333333,10.78064109
288,-94,10.8012345
289,-85.66666667,16.93779469
290,-89,4.546060566
291,-94.66666667,6.599663291
292,-84.33333333,6.548960901
293,-87.66666667,6.018490028
294,-87,4.242640687
295,-79,4.898979486
296,-95.66666667,4.642796092
297,-112.6666667,19.60158724
298,-103.6666667,23.66901397
299,-84.33333333,4.109609335
