Rollouts,Average Reward,Standard Deviation
187,-122.2492626,2.15096297
188,-123.4801309,0.807644436
189,-119.1105062,0.859606613
190,-126.5395229,1.477232743
191,-125.0238748,2.348750549
192,-267.4501391,21.61287072
193,-118.838266,1.52265574
194,-128.3852735,0.320032903
195,-252.4960852,7.440826863
196,-3.647009569,1.29661846
197,-118.3539811,0.589368049
198,-123.4097002,1.106616826
199,-5.14376889,0.992751864
200,-127.0990141,0.907687183
201,-128.1895108,1.281489587
202,-232.6447048,2.002266161
203,-124.0102426,3.449590003
204,-129.3550997,2.197538625
205,-228.8893142,1.607007322
206,-127.9623166,1.990023403
207,-123.9609625,2.046547534
208,-235.4660117,1.229098692
209,-127.8791232,1.589701392
210,-128.0871799,1.95050145
211,-126.1033632,4.653609932
212,-240.4926444,3.7204931
213,-6.859025504,1.522605092
214,-122.0510686,2.50699017
215,-124.5085716,1.272503504
216,-122.0943534,0.904595635
217,-126.0800838,1.827435976
218,-254.3710434,11.0429284
219,-246.0832855,3.280983473
220,-223.5383317,0.36053316
221,-124.5569471,0.635251748
222,-245.5837419,3.223689016
223,-122.0975029,1.487380955
224,-126.2109897,0.732330089
225,-126.1227891,0.437214619
226,-3.331847252,1.89074283
227,-123.5533517,1.029682123
228,-285.1082914,20.08286182
229,-119.0921739,0.504903322
230,-124.4927358,1.081196038
231,-230.1950144,1.086461143
232,-117.5136255,0.322527598
233,-236.8740652,0.242408206
234,-119.7070512,0.976013147
235,-239.0232785,1.666794037
236,-234.3069585,3.394668148
237,-247.8906419,1.584954132
238,-3.096629162,0.621608583
239,-128.1535738,3.832810461
240,-129.4267554,2.126558852
241,-8.391030218,3.146777596
242,-6.045440201,4.908598363
243,-276.2137291,48.93129443
244,-124.3789961,0.735841417
245,-123.2283273,1.60054827
246,-122.9409367,0.453977942
247,-3.462665633,1.731673076
248,-245.2913046,2.680049229
249,-121.4682251,2.719431508
250,-123.1057904,0.854006176
251,-123.7706376,1.162973828
252,-353.7721981,22.64510503
253,-324.9059755,9.357944413
254,-123.947654,2.917799563
255,-125.0717893,0.63502106
256,-2.874748458,1.238378395
257,-125.1545493,2.738880511
258,-127.4987293,2.447582932
