Episode,Mean Score,Std Dev
1,-568.7075392778867,641.7774420734357
2,-581.9313065831184,654.2609691777579
3,-850.3388588911788,714.4019354859844
4,-832.1238489243682,700.0526533065668
5,-727.8426485626329,712.2561793524866
6,-598.3270518904907,679.199118890198
7,-547.5641669940186,596.114232373651
8,-626.4930678393895,546.9494887617169
9,-434.89364476149785,433.9641969474369
10,-512.711295093597,552.6529834205955
11,-437.7084528523423,440.7480655896728
12,-483.13310485739277,502.2429115264346
13,-353.0247203833039,496.1587980563971
14,-429.3681708303266,421.49734204814064
15,-458.4070793925345,475.40636860443374
16,-447.47360378593436,460.9364549993143
17,-334.1845887845636,296.76757786164006
18,-595.2661425746555,370.9816460225959
19,-419.25425661202326,423.57626439580906
20,-434.95906599754375,254.83397287538477
21,-608.1316886897301,466.95213156644473
22,-380.85707381448975,370.34184594105966
23,-261.8118102228763,187.64405000760217
24,-292.72319140788846,242.21051092592967
25,-134.78283090804828,187.16674291141882
26,-447.4769591085964,274.61553038643615
27,-47.4789091678253,63.31272582861904
28,-170.06223408951692,66.18576505462197
29,-373.70663333929446,199.8564467540096
30,-258.9044630698835,186.59685160307387
31,-204.97265590964898,124.16199409474534
32,-575.2576608048835,478.91221496227865
33,-167.14323382745476,65.44596921470867
34,-256.41550601096446,190.0626482083612
35,-490.61392622456,522.2891673672161
36,-131.5228734678332,5.341573038031705
37,-467.58577809282406,327.54449202701016
38,-533.9906434926417,422.7290556504041
39,-122.71569949425403,4.2542182578012175
40,-129.5021888482605,4.6045830191087695
41,-122.341214182162,3.807744666887863
42,-131.36587183417075,4.365509423181325
43,-361.9114723984776,78.00425628322301
44,-5.449727752613707,5.3211030404303665
45,-130.7034488609572,4.691356879712286
46,-122.76459776829084,3.6666743274994062
47,-122.62310550761522,3.0601456780248237
48,-310.5494804947993,73.75044732297245
49,-124.2309929308683,4.073294454581221
50,-5.387927921423476,1.8546142248671953
51,-227.57125180417907,5.487804519395823
52,-2.9689398896779875,2.0038599447639998
53,-5.093566263306265,1.578683430426739
54,-125.68229984087515,3.6546585421413784
55,-162.69033990989192,60.73027869248438
56,-2.8155928195936717,1.7100512077928867
57,-241.16745145110085,10.888254308297048
58,-237.85612715078972,8.04721647626819
59,-3.130918475899668,1.228583800851462
60,-238.13327584772267,4.970145796389254
61,-234.36244094173767,6.473178512508763
62,-121.41146470730604,1.1298560422469854
63,-118.01418546675973,1.3142295563498483
64,-237.86692629140398,6.661492209710374
65,-128.6372033144833,0.27292911529930786
66,-283.1056442595336,35.7814394491641
67,-237.37612656218388,1.842604516223069
68,-229.26996901770607,2.9714370574743563
69,-128.33342847364125,1.3820976451973477
70,-125.61700610443131,2.0706845413431196
71,-122.33201943251602,1.2941447783242077
72,-296.66579148184576,62.676038618131265
73,-122.11530908917047,0.21024601504861132
74,-128.24825668235619,1.582755801067506
75,-1.3492355397594322,0.7282772480112553
76,-123.98541710009563,1.0897748168124792
77,-120.52388913920612,0.08568914647372138
78,-226.42582350314947,3.2509376934549588
79,-125.17010167451531,0.7685852052295228
80,-123.65288417304039,1.6228763469345735
81,-250.044680069441,6.157174245531406
82,-122.51489523624589,0.6693053470094131
83,-123.26548925398656,0.5684274376569824
84,-356.622718959104,3.2088791913925885
85,-124.75484610485773,1.2730881030435404
86,-237.86105869771552,2.327756110850669
87,-120.85264167298298,1.1430053911627838
88,-230.27820181318512,2.6546017223479637
89,-3.169629699494228,0.4662185391565343
90,-128.45181010652595,1.470223383345465
91,-246.4753871989005,4.375523843210553
92,-2.0769760026008415,0.49134796776799256
93,-285.4823424003741,43.92105431384067
94,-123.39445884223029,1.2316993838959032
95,-2.1989453744378658,0.31155562277281157
96,-122.63341793731986,1.4259449077174597
97,-2.8093637194089176,0.40153604899910084
98,-226.4386351004238,0.7506400611391544
99,-119.13945097565966,0.5244283433807773
100,-1.576773366004004,0.5427474520812047
101,-342.98787314379825,21.63065654216483
102,-124.7001385170949,1.3206248762099135
103,-4.278729932848205,0.5716550802531531
104,-2.643117990737144,0.6890341732535277
105,-243.24703257895536,1.9644925065486776
106,-2.5486170623056124,0.661758773929709
107,-129.59940606442294,0.788344897108685
108,-121.03780902026016,1.6324463682726813
109,-239.87372041511287,1.308333514743992
110,-129.81717977941113,1.2695619065847694
111,-118.61674107008531,1.145065926373645
112,-116.66640247866792,0.39889773432689835
113,-228.27589143302157,2.2563004483945104
114,-1.1670093951506082,0.48339086523948965
115,-1.7818296780452674,0.5483662577869124
116,-123.81850387357416,2.6728445348060257
117,-127.73436683742689,2.0800235506970957
118,-238.32102655720288,1.2676276253756953
119,-122.77635413915273,0.30078537079336837
120,-269.2545787303577,13.879225041513196
121,-298.98199876681906,52.50183886083729
122,-127.52429810174505,0.7616567913075171
123,-128.80878137918492,0.46639854168555933
124,-232.09693202640335,3.6232941254213973
125,-271.14791893827095,52.30889480459075
126,-122.63954978440061,1.5786530722094454
127,-127.84933874236185,0.6154753767091542
128,-235.2009000444622,1.3111510878130033
129,-124.07462114397458,0.5338902697204595
130,-122.03367683132161,1.821003378475328
131,-231.06446796805062,2.360473904183937
132,-120.05248143448144,0.8600788579392727
133,-244.06705069115276,1.1126044402399713
134,-337.70943854936826,38.80613579049624
135,-270.9075680636098,59.52165658277982
136,-123.17604084791616,0.9921974895078095
137,-122.75863768012535,0.7895611193750833
138,-128.61648892265123,0.2684187040350214
139,-315.1615353025488,14.900667733520917
140,-123.27766762100185,3.161357987026131
141,-241.47234056149787,3.9366878209205196
142,-1.8342398293885303,0.48640086370902097
