Rollouts,Average Reward,Standard Deviation
187,-165.9028338,84.61337354
188,-76.26217685,67.15804074
189,-381.7948404,275.8330413
190,-166.3200464,78.47233414
191,-169.1044983,73.18797173
192,-247.8460945,145.5880423
193,-258.309129,140.4555005
194,-341.5993174,200.0583245
195,-350.8931374,373.625833
196,-416.8078977,273.6150833
197,-344.4054091,218.7084181
198,-166.8981363,81.3956083
199,-268.0864939,122.0356247
200,-79.44328525,69.03814795
201,-177.7687059,86.80431539
202,-247.1132969,137.2717224
203,-136.5788344,125.5267308
204,-128.7319922,2.273319447
205,-298.0159039,431.0912938
206,-308.1926756,169.8495739
207,-263.9248058,142.826792
208,-230.490278,148.903708
209,-225.0515826,65.09873238
210,-371.2938832,360.5966909
211,-250.9758521,229.3514711
212,-74.99129421,66.05199871
213,-123.7879185,7.610572072
214,-127.6174003,3.027651893
215,-284.6694347,99.4371484
216,-303.1956628,167.2688234
217,-207.5077736,74.10232306
218,-158.3990327,84.89749623
219,-133.0653711,7.836756523
220,-219.5249476,159.2125572
221,-338.2570119,200.0513948
222,-146.006859,31.17637876
223,-209.6851748,82.00096683
224,-119.9763974,17.30961077
225,-228.9651065,146.0199364
226,-164.0853284,141.1641543
227,-255.1957521,234.8699504
228,-174.8884748,80.26686761
229,-149.6838556,36.65368125
230,-127.7021807,127.5600038
231,-85.2477009,72.50629554
232,-265.1404473,132.7523884
233,-175.3978149,74.67622664
234,-212.4698072,77.49572728
235,-174.6539212,92.99806561
236,-314.9045713,161.0842336
237,-174.2754967,75.51770409
238,-171.3187513,80.90348208
239,-167.0238803,189.1289957
240,-213.1050966,155.3797984
241,-93.77943569,80.75094697
242,-262.7799349,224.9845533
243,-117.7306283,23.26232472
244,-210.8481129,159.0360575
245,-171.6530474,81.32326203
246,-177.8712085,67.70267716
247,-174.0814968,81.06053977
248,-211.6107014,155.5496711
249,-82.64521653,69.19915255
250,-131.6587027,127.1712995
251,-91.80440228,79.26451444
252,-257.8203269,121.6529334
253,-89.8419974,75.28449334
254,-325.2413726,149.8182846
255,-214.7890916,83.82312004
256,-176.0544432,196.9869329
257,-162.5599076,86.19182636
258,-307.2127531,163.7257336
259,-126.4983547,5.794117749
260,-213.8911316,152.7462077
261,-162.2526778,189.1417193
262,-225.5338127,166.1222534
263,-133.5130269,4.822071856
264,-134.5560418,130.4877676
265,-252.2661893,227.9713822
266,-305.0142407,143.6516359
267,-178.7510719,231.6947652
268,-256.5206077,133.2858913
269,-209.5769456,159.2644515
270,-137.1932841,12.26197321
271,-168.8073159,79.74860198
272,-214.6810631,161.1027185
273,-204.9985411,270.8624949
274,-179.2847748,69.63865384
275,-90.92135578,78.15065782
276,-85.82585139,73.27801383
277,-120.3774122,13.38698523
278,-291.9251403,172.0401167
279,-297.3267063,209.2389517
280,-127.1026931,2.278063663
281,-261.8064763,125.6504933
282,-262.2711257,131.9079129
283,-224.8509743,158.7938067
284,-218.1086255,87.65907959
285,-128.1317453,129.1053347
286,-255.9595233,230.7753688
287,-220.5948033,140.0636593
288,-217.7652421,159.1402866
289,-232.2367469,158.9477149
290,-323.0034221,227.7547391
291,-200.4756813,150.5555366
292,-86.66239307,74.56716137
293,-223.5901,86.69696729
294,-218.9952127,140.1393502
295,-208.3449003,148.3091525
296,-78.64337389,68.3248077
297,-266.7902827,187.5445077
298,-173.546664,74.20392042
299,,
