Score,Score,Score,Score,Score
-662.2404497102834,-1248.99864590168,-750.889345113188,-1417.1336897611618,-874.7115646749735
-518.0241606378113,-1243.5805987119677,-1157.775552034378,-1226.5539105832577,-1284.546527683735
-857.5543520376086,-898.2218443080783,-1286.5018371343613,-1160.584188550711,-750.185093453154
-379.9708341472433,-1047.7560493275523,-974.907853603363,-1324.2015719413755,-716.2849625721574
-648.4793660037685,-885.796061119996,-899.8587764427066,-1290.9636328816414,-851.8326294720173
-938.019816879183,-518.2075703293085,-1272.1831046938896,-1271.5247078239918,-635.2013913320261
-650.5295680984855,-861.0305788852274,-1221.9077201485634,-1343.1731096263975,-624.6962104639388
-478.76064039208,-651.7187155671418,-868.2328206598759,-1196.121113061905,-629.3839407935739
-786.6715792566538,-794.3510043490678,-1123.732115328312,-1371.11300188303,-868.2652201894671
-888.2423532381654,-763.0131196510047,-1047.0128443092108,-1350.640767455101,-862.9835166037083
-773.9288753671572,-806.5860820692033,-778.009312979877,-1320.9251062572002,-865.8415789753199
-857.0299638081342,-1141.466186106205,-1167.8422389626503,-1313.9008250832558,-735.929542635582
-384.6843327565584,-973.8630747944115,-869.5052220225334,-1178.4621653482318,-708.0933351172134
-2.9090530566172674,-630.4040551092476,-983.2414195165038,-1363.548591375351,-634.7726382724941
-388.60001141321845,-634.4408689237898,-905.1948117427528,-1316.975881755352,-1019.4821462929248
-651.3725788011216,-742.3768792338669,-1314.0699989795685,-1241.3383668661118,-777.7681804355234
-253.4439221903449,-952.6561938375236,-1168.6240794062614,-1191.3104071170092,-1113.9285140484571
-256.55753700924106,-652.7225812736433,-1051.6597476005554,-1288.637528538704,-900.3442302811891
-254.4199675708278,-747.8458878472447,-1264.828114271164,-1317.260628119111,-740.7882413733751
-388.9072756288806,-629.4790490232408,-1187.5821497440338,-1178.1879272460938,-744.5475176554173
-288.16693107102765,-878.2679415568709,-1113.677579656243,-1138.195607945323,-464.1606973511807
-396.24125155759975,-630.0641496414319,-768.9172978810966,-1197.7829455435276,-625.621547029732
-131.4726378757041,-1001.9207233243214,-1046.8891675025225,-1443.1130646467209,-1178.1385437846184
-251.10077359515708,-849.4149926044047,-911.1368621923028,-1183.2671661525965,-1226.942029595375
-4.176479517802363,-630.185604080325,-879.6671530678868,-1354.788190126419,-380.8333473281309
-4.2793683648633305,-771.4262367531192,-970.3465291261672,-1396.7964246869087,-990.4785518348216
-2.647373729843821,-353.50246953353053,-910.1128699928522,-1169.2942788004875,-1019.009661346674
-2.5809228894358966,-1425.6430761814115,-939.9739062041044,-1350.875045880675,-1088.8387144804
-255.114601395966,-621.0182292526588,-881.7639521360397,-1293.6672817468643,-842.4418502151966
-2.3636315089243,-476.52376980595,-1008.8371066749096,-1337.1566891670227,-1046.708471223712
-548.9853003683966,-380.22685577726224,-810.2584174722433,-1262.4480757415297,-901.0940289199352
-644.5644080620259,-746.5609959656285,-1250.454891204834,-1342.186250537634,-844.9867777060717
-702.5235716164461,-626.6859064968303,-767.6803457960486,-1316.601895570755,-1128.2461479008198
-251.0108799086738,-373.17408010340296,-1449.886568069458,-1267.1364997029305,-247.4251584711019
-254.0458032527531,-747.396687124623,-757.1745120584965,-1708.685911655426,-627.7303374228068
-533.0375502423558,-607.0578821990639,-625.9236474385252,-1354.839189171791,-739.1410950962454
-510.8881053124642,-504.2733759533148,-1000.0493995249273,-1422.5753652453425,-734.3158027576283
-124.7008433539304,-1044.7789323925972,-1069.1919528245926,-1351.346429347992,-627.2313149422407
-671.3884938578412,-868.0130691232625,-878.6241834908724,-1324.9403671063485,-383.2394667825138
-521.0813878556801,-982.4683630699292,-1256.061330884695,-1655.5207748413086,-622.6466970234178
-256.4708790880395,-497.0589203374984,-624.061266214936,-1286.388217329979,-1145.7620215713978
-514.7484892054053,-509.7138363736449,-980.1843547821044,-1303.7947216629982,-128.86584122166823
-128.53349721046834,-622.4585636084958,-1138.901287227869,-1313.85007250309,-1241.837582707405
-379.701909164578,-491.00474338074855,-935.0614463221282,-1206.4552327394483,-497.30317208135966
-132.79831107541395,-244.95363129449836,-865.9952720720321,-1422.1260631680489,-419.0286378850578
-407.96839528222336,-251.61225405859292,-1259.8863670825958,-1312.3925558328629,-871.4650617725565
-128.3581621696649,-127.70204693583946,-839.4642753563821,-1363.138506133109,-369.5871916338001
-392.14817380975,-126.80206641329278,-985.8905398547648,-1319.878665715456,-518.252234877822
-249.02305344734123,-1235.7200720310211,-746.6891158660874,-1245.6024207547307,-383.2285381171241
-127.08729864901396,-751.3368331366873,-1170.2079104185104,-1239.488952115178,-792.1194053105137
-809.9900856628083,-379.7568243582973,-939.7040829239412,-1404.9588388502598,-1119.6731306016443
-416.2551657334261,-876.5296787524712,-744.5960544720292,-1240.2344086766243,-1.023600722910487
-127.50895875882998,-378.3416631803875,-819.2102570775896,-1166.520831555128,-369.9337862844404
-261.5495161896652,-125.90380001821904,-1069.1590036004782,-1179.255175575614,-738.5966478069095
-513.6495706581045,-492.4765742711679,-899.3848295435309,-1186.8075792193413,-492.2364466818326
-1.3946891233899803,-1047.7513626813889,-754.9405362550169,-1264.730367422104,-126.61740681037918
-251.88193642259284,-1023.4851585142314,-855.9584948420525,-1264.4800995886326,-878.5710925087333
-0.8109407332849514,-756.5905842110515,-591.8837720868178,-1157.334233701229,-842.1405288945098
-388.6327987874101,-760.208557418664,-502.0193157169269,-1228.5821552961131,-127.04489218263188
-666.9544982550433,-986.412175879348,-985.1617467999458,-1235.8485574573278,-734.0638313826785
-262.1877946639397,-127.74139520722656,-1271.985660791397,-1149.8863019943235,-800.3709940012777
-416.16667641617823,-128.39403354809838,-920.7205686271192,-1211.4813472405076,-0.6401469770994481
-506.9811576107895,-622.5222698821744,-1127.9701860249045,-1267.3196798115969,-872.8093613982201
-382.1075271246518,-1046.0677953409995,-1334.8179951906204,-1487.7716938257215,-489.1484862151192
-383.42368806368177,-252.8547175104468,-599.9555012122728,-1529.0950999259949,-1085.9939661324024
-254.2889095689461,-863.6278663222911,-517.8253530137881,-1065.352024074644,-516.4450088869198
-602.6446682472633,-251.51780079961463,-894.7221135145664,-1358.3248109817505,-374.2504353508775
-129.02620991704316,-863.8169416695746,-385.2520805789391,-1192.4266849160194,-511.8005077462585
-392.2547008492402,-1177.5089517831802,-1048.9263038039207,-1298.9094505608082,-1081.99321540026
-129.21288749615633,-124.49278687371408,-911.5228929519652,-1122.9222408533096,-124.02646303682197
-516.5107888723287,-620.7355643792253,-768.3558772653341,-1283.9356639385223,-369.46753395165433
-491.1596774938717,-126.5549087546824,-1297.173088312149,-1255.957055322826,-980.8480892255902
-513.5619048730905,-1008.4490476853098,-1026.228839814663,-1175.902468264103,-122.920726784203
-259.7400287822675,-253.0896624529487,-804.0429526418447,-1265.4568692445755,-126.2867322111415
-383.2250520606176,-619.6382303174032,-746.0219184448943,-1139.07466673851,-757.3692635869011
-130.3600601060607,-249.54800396893188,-520.4112200755626,-1356.746387898922,-123.22642365896172
-637.4156107960844,-127.45423517984456,-1469.4661972522736,-1278.4434638023376,-128.72884464614617
-505.6550475611584,-244.91769569351163,-903.7890664935112,-1284.5005282759666,-254.16955111626885
-418.3543979846593,-128.01010516428505,-1303.7632616758349,-1232.8224039673803,-629.80271379021
-130.92209257427749,-1020.39283917984,-750.9752206597477,-1351.675339758396,-626.1321390086086
-131.83962269512995,-899.1199558842345,-1008.8140995204448,-1186.3071189969778,-373.7651421329792
-521.4507694392123,-634.9249001994685,-1111.2233303785324,-1271.9768878743052,-370.4659659973695
-2.0922223807210685,-505.087211239068,-984.8293982446194,-1297.4620658159256,-1.0473352165718095
-254.19728683623543,-1125.061672270298,-992.8538695424796,-1127.1120060151443,-1115.3520294725895
-257.70342900807736,-376.6050738381455,-1195.1399922817943,-1227.738952360698,-765.6620205748186
-408.0055574634735,-639.4162128427342,-1159.981400191784,-1343.3174030780792,-498.9636910775298
-505.9348329494969,-506.92719338576353,-678.9939739182591,-1277.5457609295845,-371.4055593309313
-129.07886491220415,-851.2476128984563,-747.9429972686339,-1342.783430159092,-370.26225459311536
-535.5307312393852,-125.54743029417295,-1187.9838193655014,-1160.1790087521076,-0.5912026071673608
-132.42655614725663,-548.7155570643517,-641.0393273290247,-1190.6068409532309,-372.4151778191226
-130.524198176121,-241.8019435176975,-881.7337536104023,-1281.6825542636216,-253.74707364397185
-253.66728614565,-616.6084875899251,-628.926429788582,-1312.251022875309,-253.4864541222196
-0.8013312352413777,-248.1514808392385,-638.7679056096822,-1319.764836370945,-816.8083713636152
-260.3337422681798,-247.73108143985485,-384.12567508683424,-1302.812138736248,-372.0651819107443
-2.904552637945926,-246.82013028507208,-1171.9104416370392,-1181.1229771971705,-501.60518097979366
-133.47223105339071,-124.47539965857868,-995.8376296162604,-1284.1838536560535,-248.70429034503468
-256.1499584021076,-1191.3030143380165,-748.4406915921718,-1267.9608778953552,-124.53438453744457
-127.62675001902244,-654.7276416911045,-1166.9436185359957,-1276.77418050915,-385.0740887249776
-428.708433136846,-373.4798879051268,-0.6532842180940861,-1248.9739005565643,-360.0103412567696
-389.6626146280833,-871.0544029770826,-509.9530570004136,-1263.6636215746405,-372.2291645458608
-524.4098005749984,-821.2864058442356,-1105.4576788842678,-1084.0939509589225,-769.671402312757
-258.5954837292593,-793.9380168300122,-1020.1965888636188,-1212.0263862535355,-373.0430722743622
-1.4011440291578765,-126.528456617576,-640.4189467615215,-1171.3018116168678,-127.35308210592484
-266.65570444834884,-480.674731515508,-248.04504222418723,-1195.9220230579376,-748.1086074295454
-519.7941205106472,-256.3651849102753,-1085.7624410390854,-1276.0828535035253,-631.8526000295678
-2.033848699002192,-491.5655547292481,-506.07241490265005,-1215.9684243798256,-126.06760081147696
-1.195692248285923,-608.7524461406938,-1168.6578711271286,-1248.1228251457214,-624.7055140370067
-252.63056965551183,-497.3622951536381,-771.4341398905963,-1162.6740320324898,-383.1166925513535
-247.49790983049024,-122.87201961970504,-252.14348345785947,-1325.098611652851,-1.093595929291041
-128.0867044505976,-0.5361310078023962,-616.6222366185102,-1224.9176036817953,-745.5824371672643
-388.92924431945903,-613.8000664393658,-0.3830982870149455,-1055.2780285403132,-127.31223901103294
-255.33211580979696,-125.41644978199464,-253.563329359793,-1256.1740196347237,-499.8359728655632
-381.1388882845568,-486.52899647308,-493.98689930049295,-1149.1670188754797,-126.41496449606166
-125.36976011123625,-127.2306373896272,-253.5858707552834,-1278.6178475022316,-1.2980081617788528
-2.992733754130313,-489.0529570702747,-710.9801604896784,-1794.1803135871887,-247.4454960145636
-417.29869225640505,-604.8670996178116,-995.832969635725,-1231.8852480947971,-126.64968405815488
-379.9184527600173,-235.97992600696307,-128.59605852792447,-1218.6544068157673,-598.6815546322923
-1.7324495630527963,-543.0419651264019,-252.45150717385692,-1234.3174515664575,-497.927223147366
-510.9862791181986,-640.0584911595652,-1094.3492002934215,-1150.3728639483452,-124.5748800436886
-260.19568256205093,-242.665048616509,-247.6843394350253,-1237.973548382521,-124.8071180464467
-515.5777719122998,-636.2227172480125,-881.1763759851456,-1111.366929449141,-617.0033490453789
-3.336664565409592,-249.657823155736,-620.8509213688048,-1163.797536063939,-728.461168573238
-0.8149991515083457,-494.4409943685496,-509.0576974801952,-1104.957369462587,-251.48060736082695
-1.4646732173841883,-623.4931172231172,-1006.1474554166198,-1232.9910496473312,-126.59466396433707
-257.29130761683336,-126.16057000860746,-1178.4767231345177,-1216.516928613186,-249.76404093658493
-256.83105458501086,-367.807395747288,-1058.1308205492096,-1177.9851342886686,-241.4403924385188
-502.03615180778434,-0.6820495321444469,-1123.6949705183506,-1281.5324555840343,-735.7856944252417
-378.4823834361887,-503.9707015275308,-0.574227496603271,-1248.7880204916,-504.957581698156
-127.05754237485962,-787.3799731873005,-1079.6568234860897,-1129.4236342271324,-740.2070678091841
-496.9784695988674,-261.10424029112073,-898.8354075700045,-1137.1553624421358,-251.6219437438849
-388.8948294901347,-127.86015104057152,-752.9458242097498,-1276.6861757040024,-248.25198253660344
-254.6836004560901,-635.1637466207721,-1026.8337237723172,-1118.693101927638,-128.22056065475044
-400.2913326341568,-245.473004536987,-1014.2479618510696,-1218.735061608255,-612.9174782974387
-546.9744447995035,-244.70523841553225,-740.2015221341571,-1421.693589568138,-125.48578951341004
-0.7942305492179003,-1083.9792675115168,-1116.504055261612,-1235.9706757068634,-608.7176996344351
-377.4259165095591,-500.807872652731,-1023.7244161590934,-1213.952918112278,-121.5818841225664
-379.2287903378892,-493.6584749805115,-913.944199175574,-1264.14108645916,-491.99376604738063
-125.95481215242762,-1134.9349132478235,-372.383307587319,-1143.3942647241056,-129.16009359345117
-1.440096497273771,-747.7295071656918,-1026.7982733994722,-1361.0151715278623,-507.49161457185255
-254.08066974752,-767.9308231696486,-866.9680990874767,-1258.4442978315055,-646.4243313048646
-495.8537879718952,-495.3882184473914,-895.3478970974684,-1201.8123395740986,-963.8937277179213
-129.62321574517046,-372.4802393660793,-128.14091116077907,-1227.4607994444668,-365.2863862644226
-2.225779815136775,-880.2114193961024,-254.59315809444888,-1259.9513393640518,-374.4244300298815
-256.8886908709246,-246.7521345574005,-640.6619031282462,-1220.1326849460602,-126.75552314007656
-508.89999829453154,-762.9701601848719,-508.45211380309775,-1144.9123909175396,-377.3289558236793
-126.82801152903266,-0.6769175300723873,-758.5455559835245,-1599.654683113098,-613.98001540919
-263.88858432158304,-1015.0648809038104,-627.7337004254077,-1177.090546771884,-621.0037600450378
-127.78271522258729,-490.53088084066985,-253.9852219235472,-1079.9633525684476,-617.9668019727687
-255.14564938344483,-374.1268579883217,-1171.0028194189072,-1192.4718390405178,-250.48583716513167
-513.3650198053838,-741.1484869393098,-636.184252185747,-1085.6462465524671,-255.10621779283247
-503.3708496236941,-757.8669976596484,-752.9034300115491,-1307.460807800293,-126.74337219171866
-668.5436936952319,-246.04751437676168,-372.474113022312,-1167.8711113147438,-124.69122845774471
-546.2457061890636,-740.9642256819789,-1112.9033177644014,-1269.38400888443,-926.4150193184614
-127.87619136831928,-867.5594530583257,-907.6765924394132,-1215.25403547287,-618.535737496004
-392.4558876877709,-122.24512643970957,-806.6171730309725,-1283.0599234104156,-126.1845294429902
-259.20938125425164,-0.7119674989007763,-494.5998175588175,-1008.9009265778586,-121.06754456498312
-389.5341361237279,-382.7481750780862,-886.7760190218687,-1198.04828004539,-250.44161840987363
-391.288299700027,-371.937662765632,-1116.2187563839834,-1240.90025806427,-754.004170195316
-406.8055521154456,-622.3452053702931,-883.8773176970426,-1224.6437344700098,-625.9088100321533
-127.49693558774744,-363.21722630790464,-249.1227871142692,-1194.2957034111023,-125.5314467486246
-127.94717817174389,-18.889821595588728,-1215.7250431068242,-1639.33287191391,-256.2705108745995
-379.85740282225015,-618.3245699703111,-379.10965291474713,-1411.0764359235764,-899.9555549100041
-124.06840061207184,-775.7571014535788,-1.0111085902699417,-1227.8202076256275,-126.28519541188984
-128.2645863689031,-1.8973769627809816,-251.4185511307778,-1327.9209196567535,-126.5272078995281
-125.50555510861524,-879.6678584176116,-124.42401349166175,-1257.1502683758736,-520.7962182706106
-390.69547111858265,-252.8739269440412,-972.2554557174444,-1135.525517836213,-127.02896622159096
-128.83638559008614,-746.5073699651402,-618.3019808553858,-1110.425825625658,-0.7158053457696951
-127.6767763919852,-0.7152672062929923,-126.36827381846888,-1142.0432381629944,-123.91017431400904
-254.36057194187012,-248.93815328260823,-1122.784714192152,-1274.6526505351069,-497.8227342861901
-128.1947012490782,-0.7386138261936139,-125.55969986869697,-1194.7269632667303,-652.6235067418747
-0.6436598395957844,-380.3406888824829,-896.84889498353,-1098.0882141888142,-751.7112741201754
-0.5056754186480248,-125.74741624102536,-123.05445582555694,-1198.12016479671,-376.2884793073172
-127.86701626924332,-251.06144250979924,-1302.0702966153622,-1208.4404015243051,-126.15845585869464
-501.4289747589901,-126.2661143719488,-640.2043119755635,-1741.4314579963684,-369.12114854494575
-375.1982186129389,-909.9120713174344,-899.2680180668831,-1128.4908438920977,-254.71932751052736
-259.9835173513202,-250.19113338703755,-941.9772953987122,-1137.2759687006474,-126.01147578196831
-256.0117103200537,-1018.4671405702828,-1215.5161823034286,-1165.3607176542282,-127.06510289179278
-387.9038055541041,-377.6175149565679,-984.3487074524164,-1213.7717669904232,-1095.344952814281
-404.6987712987593,-496.3160320870811,-620.5648101293773,-1749.8519620895386,-370.9996565260808
-410.61419491891866,-251.76037680296577,-1036.16037774086,-1053.1148158460855,-121.88708527966082
-404.214378359361,-1051.821048428537,-126.44695240398867,-1181.8504383265972,-373.8407926618456
-387.1601377340194,-250.87359043415927,-909.3728226795791,-1232.450955569744,-622.6065253739653
-255.74163557409247,-374.81457914138446,-382.24176680013625,-1211.6307174488902,-377.6166749324475
-406.4281352263352,-1029.3451492488384,-1155.5777526291204,-1764.6641721725464,-518.8214831685364
-723.7628741043718,-388.85382426511205,-1036.5924425832927,-1114.8434734418988,-120.01598664259654
-0.7255330465668521,-492.9036980737583,-0.5947831786079405,-1061.1850292682648,-514.6022236828867
-687.310801268135,-494.4420187663927,-1056.1384182721376,-1222.6081237196922,-123.2752934906748
-266.3755079653656,-257.6737995517324,-1031.6932625100017,-1207.19686858356,-483.8658385754243
-785.7981328168607,-848.6214823024347,-872.9089329016861,-1145.2331371605396,-123.85740799430278
-257.7861134624982,-495.7676997122908,-377.8599183394695,-1110.912288993597,-892.2483906378038
-406.3697433044108,-752.9366241646931,-745.6015251557255,-1024.9865835160017,-758.9783851574466
-398.3933385016444,-652.9122975566715,-1039.351953683887,-1199.2735985964537,-493.0895786709152
-525.3889083313188,-502.7513005996989,-0.5641689758140274,-1457.2639396190643,-490.8534700296004
-523.8964425000158,-251.24725351289817,-126.2183426002848,-1169.4365818090737,-373.8883571624901
-252.91569350246573,-605.0359299503034,-996.200427658856,-1205.8764932807535,-125.70427771952744
-261.8281938450964,-374.3964890131756,-1011.5967312455176,-1102.4752190709114,-628.5648400622595
-309.17808826285545,-125.22414771546028,-885.3133324496448,-1218.7888695597649,-742.3961973916375
-497.601087936815,-369.8116356576502,-250.0234254459574,-1193.8949291706083,-127.83963835448958
-1.2157520933451451,-253.5923181550388,-738.0574502156232,-1868.748435497284,-1.2895435547543457
-133.17315461581347,-372.73070780042326,-126.26486713048509,-1471.6628477573397,-881.3406410194002
-124.99970937693432,-1.1366686429659012,-1035.2776543349028,-961.5172297917306,-127.17361126189644
-1.5539383112809446,-501.9430142997881,-1167.3879454135897,-1020.2939578127116,-614.7420964700395
-125.20517288162227,-127.732086554126,-374.20306681812144,-1117.159441947937,-124.46495304905692
-128.79358337403391,-367.145420448971,-635.675874393346,-1826.4923906326292,-246.742176973421
-128.28956634911447,-250.5113350806641,-884.9434247985482,-1093.5639937072992,-508.7742083496705
-122.65352463643468,-748.7837409349158,-886.172344982624,-1093.460639063269,-486.8591555789753
-282.9048604594136,-773.1454212015378,-253.92691852382995,-1184.5277470052242,-1076.3569252798334
-368.3902065643051,-629.0449034502672,-125.88053166660892,-1053.26017922163,-676.8190103721063
-422.3063951767981,-496.5443234138656,-1116.4817501604557,-1232.366623878479,-0.7553700278440374
-118.46505146984418,-1046.406849220395,-991.7211027108132,-1049.5008581280708,-1013.4134120345116
-267.3228542629413,-127.0926026672314,-498.6589128096166,-1668.347767353058,-125.98810876599646
-255.73956188180452,-248.24531753150225,-495.4482803569336,-1727.2314491271973,-768.2387067876189
-246.76046689268333,-617.997685333612,-1065.4975500442088,-1473.819308757782,-373.5101087918592
-248.2327759621403,-250.17092812054037,-488.2288391368829,-1026.059883326292,-503.8411032512013
-528.2506243090938,-626.229092455731,-522.3996783680414,-1693.880612373352,-826.4291188421776
-126.22043694254536,-126.91646299186232,-1022.3874762952328,-1084.049563884735,-646.2048890225888
-0.5254065012522915,-365.6918353339497,-123.15541711562582,-1046.4017408192158,-250.76698960491197
-127.7298238398762,-379.60848322534,-371.1132339252536,-1082.693370640278,-252.90209870401668
-258.3263873932592,-503.9204856833094,-630.0274580129771,-1136.506116308272,-248.12128620771185
-132.55889096738974,-1.1801964442420283,-384.6761049895413,-1149.5580961108208,-0.6247752751296503
-257.18039549299283,-736.6359924019198,-0.3542284560426196,-1133.3765281438828,-376.5115836229452
-126.09556510853145,-252.29752999191987,-250.91335549151336,-1032.6233488880098,-126.10067144229106
-0.6703796964793582,-733.213927345816,-645.9986861080761,-1206.8876988589764,-652.7413095449883
-258.60600139309463,-369.57989884138806,-0.2303098070005944,-1460.312856912613,-127.2411140336917
-383.5599941561486,-1014.640309793409,-633.100168741701,-1805.667697429657,-651.1662973249622
-389.579978093323,-124.03080451304412,-739.1644068218084,-1568.7908191680908,-248.114062141467
-128.84788050225688,-259.8365647355822,-886.5537344515324,-1053.4425356984138,-1000.0812222957612
-273.64784527125084,-372.5037908753875,-951.4831818342208,-1201.395111605525,-0.7230675997379876
-381.9230007166952,-771.7852241423388,-879.7414200018393,-1131.6704564839602,-688.1294817302733
-128.43691235399456,-631.6661859100277,-619.3529952047902,-1194.2451319992542,-122.58170664009958
